STU31121,StudentName,Regular,20,student21120@example.com,5550021120,2024-01-01,Active
STU31122,StudentName,Regular,20,student21121@example.com,5550021121,2024-01-01,Active
STU31120,StudentName,Regular,20,student21119@example.com,5550021119,2024-01-01,Active
STU70728,StudentName,Regular,20,student60727@example.com,5550060727,2024-01-01,Active
STU70729,StudentName,Regular,20,student60728@example.com,5550060728,2024-01-01,Active
STU69737,StudentName,Regular,20,student59736@example.com,5550059736,2024-01-01,Active
STU69738,StudentName,Regular,20,student59737@example.com,5550059737,2024-01-01,Active
STU45768,StudentName,Regular,20,student35767@example.com,5550035767,2024-01-01,Active
STU69739,StudentName,Regular,20,student59738@example.com,5550059738,2024-01-01,Active
STU45769,StudentName,Regular,20,student35768@example.com,5550035768,2024-01-01,Active
STU45766,StudentName,Regular,20,student35765@example.com,5550035765,2024-01-01,Active
STU69733,StudentName,Regular,20,student59732@example.com,5550059732,2024-01-01,Active
STU45767,StudentName,Regular,20,student35766@example.com,5550035766,2024-01-01,Active
STU69734,StudentName,Regular,20,student59733@example.com,5550059733,2024-01-01,Active
STU45764,StudentName,Regular,20,student35763@example.com,5550035763,2024-01-01,Active
STU69735,StudentName,Regular,20,student59734@example.com,5550059734,2024-01-01,Active
STU45765,StudentName,Regular,20,student35764@example.com,5550035764,2024-01-01,Active
STU69736,StudentName,Regular,20,student59735@example.com,5550059735,2024-01-01,Active
STU21795,StudentName,Regular,20,student11794@example.com,5550011794,2024-01-01,Active
STU45773,StudentName,Regular,20,student35772@example.com,5550035772,2024-01-01,Active
STU69740,StudentName,Regular,20,student59739@example.com,5550059739,2024-01-01,Active
STU21796,StudentName,Regular,20,student11795@example.com,5550011795,2024-01-01,Active
STU45774,StudentName,Regular,20,student35773@example.com,5550035773,2024-01-01,Active
STU69741,StudentName,Regular,20,student59740@example.com,5550059740,2024-01-01,Active
STU21797,StudentName,Regular,20,student11796@example.com,5550011796,2024-01-01,Active
STU45771,StudentName,Regular,20,student35770@example.com,5550035770,2024-01-01,Active
STU69742,StudentName,Regular,20,student59741@example.com,5550059741,2024-01-01,Active
STU21798,StudentName,Regular,20,student11797@example.com,5550011797,2024-01-01,Active
STU45772,StudentName,Regular,20,student35771@example.com,5550035771,2024-01-01,Active
STU69743,StudentName,Regular,20,student59742@example.com,5550059742,2024-01-01,Active
STU21799,StudentName,Regular,20,student11798@example.com,5550011798,2024-01-01,Active
STU45770,StudentName,Regular,20,student35769@example.com,5550035769,2024-01-01,Active
STU31118,StudentName,Regular,20,student21117@example.com,5550021117,2024-01-01,Active
STU70726,StudentName,Regular,20,student60725@example.com,5550060725,2024-01-01,Active
STU31119,StudentName,Regular,20,student21118@example.com,5550021118,2024-01-01,Active
STU70727,StudentName,Regular,20,student60726@example.com,5550060726,2024-01-01,Active
STU31116,StudentName,Regular,20,student21115@example.com,5550021115,2024-01-01,Active
STU70724,StudentName,Regular,20,student60723@example.com,5550060723,2024-01-01,Active
STU31117,StudentName,Regular,20,student21116@example.com,5550021116,2024-01-01,Active
STU70725,StudentName,Regular,20,student60724@example.com,5550060724,2024-01-01,Active
STU31114,StudentName,Regular,20,student21113@example.com,5550021113,2024-01-01,Active
STU70722,StudentName,Regular,20,student60721@example.com,5550060721,2024-01-01,Active
STU31115,StudentName,Regular,20,student21114@example.com,5550021114,2024-01-01,Active
STU70723,StudentName,Regular,20,student60722@example.com,5550060722,2024-01-01,Active
STU31112,StudentName,Regular,20,student21111@example.com,5550021111,2024-01-01,Active
STU70720,StudentName,Regular,20,student60719@example.com,5550060719,2024-01-01,Active
STU31113,StudentName,Regular,20,student21112@example.com,5550021112,2024-01-01,Active
STU70721,StudentName,Regular,20,student60720@example.com,5550060720,2024-01-01,Active
STU31110,StudentName,Regular,20,student21109@example.com,5550021109,2024-01-01,Active
STU31111,StudentName,Regular,20,student21110@example.com,5550021110,2024-01-01,Active
STU55100,StudentName,Regular,20,student45099@example.com,5550045099,2024-01-01,Active
STU55101,StudentName,Regular,20,student45100@example.com,5550045100,2024-01-01,Active
STU55102,StudentName,Regular,20,student45101@example.com,5550045101,2024-01-01,Active
STU70719,StudentName,Regular,20,student60718@example.com,5550060718,2024-01-01,Active
STU70717,StudentName,Regular,20,student60716@example.com,5550060716,2024-01-01,Active
STU70718,StudentName,Regular,20,student60717@example.com,5550060717,2024-01-01,Active
STU69726,StudentName,Regular,20,student59725@example.com,5550059725,2024-01-01,Active
STU69727,StudentName,Regular,20,student59726@example.com,5550059726,2024-01-01,Active
STU45779,StudentName,Regular,20,student35778@example.com,5550035778,2024-01-01,Active
STU69728,StudentName,Regular,20,student59727@example.com,5550059727,2024-01-01,Active
STU21790,StudentName,Regular,20,student11789@example.com,5550011789,2024-01-01,Active
STU69729,StudentName,Regular,20,student59728@example.com,5550059728,2024-01-01,Active
